support,itemsets
0.003395585738539898,"['Oppenheimer', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Wake Up Dead Man: A Knives Out Mystery', 'The Naked Gun']"
0.003395585738539898,"['Dune: Part Two', 'Civil War']"
0.003395585738539898,"['Mission: Impossible - The Final Reckoning', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Mission: Impossible - The Final Reckoning', 'Superman']"
0.003395585738539898,"['Mission: Impossible - The Final Reckoning', 'Superman', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['M3GAN', 'Aliens']"
0.004244482173174873,"['Everything Everywhere All at Once', 'M3GAN']"
0.003395585738539898,"['Spider-Man: No Way Home', 'M3GAN']"
0.003395585738539898,"['The Batman', 'M3GAN']"
0.003395585738539898,"['Top Gun: Maverick', 'M3GAN']"
0.003395585738539898,"['Spider-Man: No Way Home', 'M3GAN', 'Everything Everywhere All at Once']"
0.003395585738539898,"['Spider-Man: No Way Home', 'The Batman', 'M3GAN']"
0.003395585738539898,"['Everything Everywhere All at Once', 'The Batman', 'M3GAN']"
0.003395585738539898,"['Spider-Man: No Way Home', 'The Batman', 'M3GAN', 'Everything Everywhere All at Once']"
0.003395585738539898,"['Top Gun: Maverick', 'The Batman', 'M3GAN']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'M3GAN']"
0.003395585738539898,"['Top Gun: Maverick', 'Everything Everywhere All at Once', 'M3GAN']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'The Batman', 'M3GAN']"
0.003395585738539898,"['Top Gun: Maverick', 'Everything Everywhere All at Once', 'The Batman', 'M3GAN']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'M3GAN', 'Everything Everywhere All at Once']"
0.003395585738539898,"['Everything Everywhere All at Once', 'Top Gun: Maverick', 'Spider-Man: No Way Home', 'M3GAN', 'The Batman']"
0.0050933786078098476,"['Alien', 'Aliens']"
0.003395585738539898,"['John Wick: Chapter 2', 'John Wick']"
0.003395585738539898,"['John Wick', 'Baby Driver']"
0.003395585738539898,"['Baby Driver', 'Aliens']"
0.003395585738539898,"['John Wick', 'Baby Driver', 'Aliens']"
0.003395585738539898,"['Smile', 'M3GAN']"
0.003395585738539898,"['The Batman', 'Smile']"
0.003395585738539898,"['Top Gun: Maverick', 'Alien: Romulus']"
0.003395585738539898,"['Superman', 'John Wick: Chapter 4']"
0.0050933786078098476,"['Top Gun: Maverick', 'John Wick: Chapter 4']"
0.004244482173174873,"['Spider-Man: No Way Home', 'The Batman']"
0.004244482173174873,"['Top Gun: Maverick', 'Spider-Man: No Way Home']"
0.003395585738539898,"['Spider-Man: No Way Home', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Spider-Man: No Way Home', 'John Wick: Chapter 4']"
0.003395585738539898,"['Spider-Man: No Way Home', 'Everything Everywhere All at Once']"
0.004244482173174873,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'The Batman']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Spider-Man: No Way Home', 'The Batman', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'The Batman', 'Mission: Impossible - Dead Reckoning Part One']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'John Wick: Chapter 4']"
0.003395585738539898,"['Spider-Man: No Way Home', 'The Batman', 'John Wick: Chapter 4']"
0.003395585738539898,"['Top Gun: Maverick', 'Spider-Man: No Way Home', 'The Batman', 'John Wick: Chapter 4']"
