user_id,movie_id,movie_title,score,rank
AquaTofana,970909,Ella McCay,0.34,4
AquaTofana,1080541,The Wrong Paris,0.33,5
AquaTofana,1226951,To Get Her,0.31,6
AquaTofana,1079176,Sketch,0.3,7
AquaTofana,926796,Nonnas,0.29,8
AquaTofana,701249,Peaky Blinders: The Immortal Man,0.28,9
AquaTofana,1197358,My Mom Jayne,0.26,10
Aqueronte72,414906,The Batman,0.48,1
Aqueronte72,438631,Dune,0.28,2
Aqueronte72,634649,Spider-Man: No Way Home,0.24,3
Aqueronte72,882598,Smile,0.23,4
Aqueronte72,75612,Oblivion,0.23,5
Aqueronte72,800939,Ticket to Paradise,0.23,6
Aqueronte72,453395,Doctor Strange in the Multiverse of Madness,0.22,7
Aqueronte72,661374,Glass Onion: A Knives Out Mystery,0.21,8
Aqueronte72,4348,Pride & Prejudice,0.2,9
Aqueronte72,150540,Inside Out,0.2,10
Aratea,1270365,The Muppet Show,0.37,1
Aratea,1057839,GOAT,0.3,2
Aratea,763995,A Minecraft Movie,0.2,3
Aratea,1085761,Hoppers,0.2,4
Aratea,885672,28 Years Later,0.18,5
Aratea,792299,Thunderbolts*,0.16,6
Aratea,948183,The Bad Guys 2,0.15,7
Aratea,810123,Nobody 2,0.15,8
Aratea,897095,Good Fortune,0.13,9
Aratea,796977,The SpongeBob Movie: Search for SquarePants,0.13,10
